p,r,w,v,T,d
17,0,18,2,59,87
12,2,14,2,29,201
10,1,12,2,19,137
14,3,10,2,50,132
17,2,20,3,5,135
15,1,19,3,42,169
11,2,11,1,25,63
2,2,10,3,49,131
9,9,25,3,62,67
13,10,20,3,13,105
12,9,6,4,51,198
15,14,25,1,78,121
11,6,18,2,7,27
9,6,8,2,13,126
20,17,8,4,75,238
13,6,16,1,26,157
10,4,12,3,7,120
18,13,6,2,19,128
17,2,22,4,48,238
22,12,8,1,90,116
8,22,11,1,2,185
12,26,18,4,66,205
12,20,17,4,76,109
14,11,6,2,74,131
19,18,7,4,77,136
16,19,21,1,60,197
13,32,21,4,71,137
22,33,15,3,98,171
20,7,10,3,91,153
18,31,18,3,75,252
16,55,25,2,18,222
24,11,23,2,57,209
16,4,21,4,41,127
16,12,17,3,46,147
19,63,16,1,48,188
17,43,20,3,70,104
19,33,10,3,67,175
19,68,9,2,76,233
21,19,20,4,81,147
19,5,24,2,9,123
11,10,21,3,50,128
10,25,22,2,7,199
14,32,5,3,38,157
1,79,11,3,21,193
12,27,7,3,98,165
4,55,17,2,19,179
13,11,14,3,52,109
17,43,6,1,68,155
18,30,16,4,60,180
14,30,6,1,64,224
15,38,10,2,26,177
17,6,25,3,68,127
15,32,24,1,93,214
10,41,15,4,14,139
15,13,18,3,78,200
30,51,12,3,20,159
16,69,14,2,97,287
23,70,8,3,9,103
8,36,21,2,10,90
18,29,17,1,93,187
16,65,5,4,4,117
17,75,16,4,16,123
19,67,20,4,10,105
10,78,19,2,51,278
6,79,17,2,48,179
11,60,19,2,40,203
5,16,8,2,27,153
25,25,18,4,43,113
9,126,20,3,74,266
17,26,25,1,91,120
14,26,19,1,100,183
15,26,12,2,78,167
18,78,19,1,84,195
18,67,14,1,61,130
20,80,15,2,74,209
20,9,18,4,36,117
21,28,14,3,42,168
13,83,22,3,25,208
14,19,11,4,54,123
6,10,13,4,35,124
18,148,22,2,60,303
15,62,19,2,81,181
29,101,6,1,85,318
21,10,22,4,64,112
15,10,24,1,26,123
11,10,12,2,66,38
13,79,17,2,41,264
17,94,19,3,14,231
17,95,20,3,57,174
7,110,24,4,22,253
22,11,23,3,90,119
23,168,17,4,94,287
12,85,23,4,72,217
12,23,22,3,35,129
14,23,9,3,25,135
14,117,25,2,100,185
12,47,7,2,63,162
16,75,24,2,99,287
12,121,21,1,68,273
13,49,7,2,26,215
24,49,23,3,86,130
23,93,15,1,51,218
17,25,6,2,35,88
5,190,16,1,57,315
14,96,20,2,56,133
14,52,13,3,47,131
25,39,15,1,1,162
13,53,6,2,6,221
14,40,22,1,39,162
17,67,20,4,87,128
15,41,23,3,70,94
18,68,21,1,62,200
11,207,9,2,56,328
8,70,13,4,100,210
16,42,11,4,57,182
2,213,6,1,78,307
17,71,25,2,54,219
23,90,18,1,43,145
15,91,17,1,52,167
14,92,22,4,52,175
21,15,14,4,19,136
15,45,7,3,69,110
11,75,12,2,67,117
28,133,5,2,8,278
20,31,9,2,75,162
14,116,22,1,74,191
27,97,24,3,99,295
14,137,14,4,14,253
11,32,22,1,99,215
9,32,18,2,33,89
16,64,13,4,96,194
25,141,15,1,69,374
10,16,15,1,82,103
15,16,17,2,99,126
14,248,11,4,3,446
18,50,14,3,40,93
12,126,16,4,53,215
22,17,24,4,21,122
13,106,25,3,18,136
12,86,11,4,54,266
21,34,13,2,95,104
14,69,7,4,50,224
20,35,20,4,52,88
13,110,18,4,22,325
23,111,20,1,15,235
12,156,8,1,47,262
13,270,21,2,84,410
7,272,16,3,37,443
27,137,25,1,6,217
25,37,18,2,98,187
17,162,7,3,60,285
13,140,18,3,70,262
13,187,24,3,88,275
18,75,12,4,65,248
16,19,23,1,4,130
29,95,12,2,57,227
3,77,5,1,78,122
15,19,25,2,3,192
9,122,6,2,64,212
22,196,22,2,35,258
10,79,19,1,46,199
20,99,14,3,46,201
12,200,22,4,7,399
24,20,9,2,37,119
18,303,11,2,73,441
11,305,22,4,74,442
11,61,20,2,32,213
15,129,10,2,53,224
31,83,20,2,55,217
18,21,14,4,20,172
12,105,16,2,39,234
15,158,19,1,47,301
11,21,15,3,74,139
22,320,24,2,76,372
16,322,9,3,16,496
6,135,16,4,11,262
10,136,13,2,69,163
20,191,14,4,87,417
11,44,6,1,27,136
12,138,12,2,33,275
12,166,5,2,77,354
20,223,25,4,71,395
20,336,17,1,3,433
20,113,21,4,79,226
12,113,25,2,5,259
9,114,10,4,98,287
16,229,18,2,25,356
18,69,22,4,43,185
23,203,5,2,3,360
18,47,13,2,47,145
21,94,10,1,41,159
14,206,11,1,5,367
18,95,9,1,78,235
12,71,14,1,61,240
11,359,21,1,31,478
18,72,6,3,96,212
16,181,19,2,46,316
15,97,6,3,54,214
10,213,8,1,34,272
15,184,24,4,67,300
