p,r,w,v,T,d
1,0,7,3,122,50
7,0,18,3,111,16
8,1,10,2,104,67
8,0,14,1,96,39
4,1,8,4,80,39
3,2,10,4,94,36
3,1,20,2,46,56
3,1,10,4,129,46
3,0,8,2,130,39
1,3,18,1,36,54
8,3,11,3,93,52
6,0,25,2,83,44
3,3,20,3,97,13
2,8,9,2,129,24
1,1,20,2,73,13
8,9,25,2,165,48
9,3,23,2,44,72
3,1,6,1,120,19
6,5,14,4,111,44
2,2,8,2,99,58
6,5,10,4,81,59
6,6,19,4,153,34
4,9,20,4,95,60
5,5,9,4,88,44
1,5,8,1,46,52
8,3,12,4,55,24
8,2,11,4,130,18
5,11,8,3,87,60
5,9,20,1,135,34
1,9,19,1,117,58
10,1,20,3,130,23
1,4,15,2,68,15
4,1,9,3,107,42
7,3,14,2,70,82
4,7,13,4,140,57
9,6,13,1,100,75
2,13,22,4,119,49
2,6,5,1,68,36
10,24,9,2,56,60
1,12,22,2,109,81
7,15,8,2,43,61
7,26,14,4,118,91
4,5,19,4,104,32
7,16,23,2,97,49
3,9,5,1,85,49
1,4,5,3,106,38
1,8,22,2,85,39
2,8,13,2,72,67
5,10,14,4,110,59
6,18,18,2,84,77
6,31,9,4,124,58
3,19,10,2,108,87
10,19,12,3,60,59
7,7,23,3,153,48
9,5,7,2,153,67
7,20,21,1,95,49
8,7,9,3,50,59
1,10,21,2,48,43
2,15,12,1,65,26
1,12,7,3,108,35
3,3,25,4,45,68
10,22,13,3,63,67
1,8,10,2,92,58
4,3,15,3,53,61
8,11,17,1,103,48
4,14,8,2,112,74
5,24,12,2,96,60
5,11,24,3,108,45
1,43,11,3,78,107
1,25,24,3,128,54
6,44,14,2,101,88
10,9,7,3,141,38
7,9,12,4,103,66
10,19,9,1,78,69
10,3,12,2,114,26
4,31,25,2,85,89
1,13,18,4,116,45
4,6,13,3,112,58
1,49,21,3,122,94
10,21,12,4,116,39
4,13,12,2,61,39
2,30,7,2,101,68
2,7,6,1,94,40
4,30,8,4,78,69
1,53,20,2,97,113
5,18,9,4,13,36
2,27,9,2,77,73
5,7,14,4,106,68
3,11,17,3,67,34
7,28,5,3,76,73
5,57,20,1,82,102
9,29,12,4,116,64
6,19,21,2,80,54
10,19,22,3,120,88
4,4,25,1,54,46
5,25,14,3,114,79
7,12,15,4,110,64
4,12,5,2,92,58
3,62,20,3,116,82
9,42,11,4,161,117
6,4,8,2,109,44
6,8,7,4,66,59
7,37,17,4,126,90
5,17,20,1,139,72
3,38,16,3,105,88
5,18,5,2,122,46
3,22,10,3,87,73
1,9,13,2,58,36
9,68,22,4,64,95
9,18,19,3,84,66
3,69,16,4,121,111
8,35,23,2,104,77
4,35,19,2,92,82
3,47,14,4,146,67
2,36,20,4,45,73
4,42,25,1,168,72
10,15,5,3,117,59
4,74,15,3,104,110
5,5,9,3,101,61
8,25,16,2,133,97
8,50,8,1,98,125
2,10,11,3,136,51
2,20,12,2,129,52
1,45,13,1,107,58
9,10,12,4,123,86
1,10,11,2,83,67
6,5,7,4,91,49
9,53,16,4,81,106
8,80,7,2,90,98
8,54,21,3,79,90
5,22,14,3,117,64
6,82,8,1,101,136
9,55,20,4,103,100
7,42,20,1,43,110
4,35,12,4,96,64
6,28,9,3,82,64
7,86,13,3,119,112
2,43,20,4,119,86
7,36,17,4,53,86
5,6,25,3,104,62
4,37,9,2,76,80
6,59,18,2,137,84
10,24,13,4,100,85
6,6,15,2,58,65
2,30,6,1,168,43
8,24,12,4,70,54
6,31,6,3,89,93
2,25,24,2,107,67
6,19,10,3,74,72
6,39,8,1,45,79
2,63,14,2,111,123
2,13,20,2,152,54
1,64,6,4,91,86
7,56,24,2,124,97
6,48,16,1,82,80
7,65,9,2,134,79
4,98,25,4,74,131
3,49,12,4,100,83
9,58,15,4,126,124
5,67,11,4,81,116
6,67,5,1,105,107
5,7,20,3,126,66
5,14,24,4,71,74
8,34,20,4,71,90
9,43,16,2,168,84
9,52,5,3,62,113
6,70,11,2,116,130
6,14,7,3,92,44
5,106,6,1,115,157
9,71,10,2,99,112
8,21,9,2,86,37
7,45,16,1,108,63
3,54,10,3,78,67
8,45,22,2,120,75
6,15,10,3,41,70
2,29,24,3,128,83
10,15,10,1,159,86
10,37,8,2,88,86
6,22,25,2,88,72
6,56,14,1,72,134
5,23,21,2,41,85
4,76,20,2,92,96
9,31,20,4,81,68
1,48,14,2,74,73
9,58,21,4,105,97
4,68,13,4,77,94
4,117,11,4,83,165
2,8,15,1,79,36
1,16,25,1,110,61
9,8,9,1,89,55
8,50,17,3,122,92
8,8,23,2,124,41
10,60,13,4,123,84
7,71,10,4,153,118
6,51,19,2,101,110
1,123,17,4,91,149
3,41,15,1,116,77
7,83,10,4,9,136
3,42,22,1,82,99
7,63,11,2,137,80
