p,r,w,v,T,d
16,0,8,13,40,208
17,0,16,8,21,102
18,1,13,10,42,102
7,2,6,1,38,64
8,1,19,11,8,111
12,9,24,8,54,105
26,6,25,7,64,142
7,2,18,12,73,109
13,6,17,9,63,45
12,15,13,14,80,114
20,11,16,3,1,171
8,11,8,4,79,125
17,1,17,14,42,121
13,3,5,1,30,139
19,8,22,12,59,151
16,26,25,8,5,71
18,6,7,10,49,58
20,29,13,8,62,112
24,6,22,7,11,138
21,4,15,7,90,144
8,5,21,2,64,115
8,2,21,3,34,67
16,5,25,6,38,126
13,5,23,13,87,71
7,17,20,8,80,205
12,11,17,5,80,171
13,15,16,4,93,37
14,12,17,3,47,114
12,6,11,8,27,146
9,50,14,12,12,228
19,14,5,3,86,137
18,18,23,10,84,115
14,23,5,1,43,145
12,4,11,8,13,199
9,39,18,5,71,170
15,20,17,1,66,175
10,12,20,7,69,131
30,17,8,5,96,119
7,13,18,9,86,173
6,18,19,2,91,138
13,23,15,7,19,142
15,14,19,6,90,36
18,14,8,8,75,90
12,31,21,1,47,188
11,5,18,2,78,68
27,77,5,11,90,204
7,11,23,9,50,96
11,40,9,11,53,165
19,28,10,10,73,160
16,56,23,12,38,156
19,43,22,4,76,175
14,58,12,5,60,121
18,18,16,6,93,163
9,61,19,4,94,163
27,12,11,12,38,175
16,39,25,13,65,149
14,64,20,10,34,188
15,20,23,13,73,174
20,27,7,14,63,175
7,68,9,11,25,163
15,69,10,13,31,237
21,44,17,10,9,74
5,44,24,11,26,98
13,29,12,12,89,145
16,29,19,12,55,132
10,112,22,10,36,246
9,47,6,4,98,78
22,115,18,11,79,251
13,68,5,11,75,221
17,119,9,14,49,150
9,50,14,14,91,139
9,122,22,13,62,228
12,33,24,6,19,112
12,84,12,3,87,270
12,42,23,3,2,241
16,17,9,6,61,125
16,44,20,7,65,201
17,77,20,12,96,160
17,45,15,10,40,151
18,9,18,5,99,190
10,18,11,13,7,139
10,58,19,14,90,75
14,38,18,4,37,102
21,48,13,7,64,88
21,48,9,6,22,235
16,61,25,10,93,128
12,86,13,14,9,200
13,10,23,1,21,210
12,40,17,2,98,158
11,153,23,4,67,192
15,77,17,13,28,218
24,65,23,10,94,181
11,42,8,1,76,219
19,11,16,14,89,73
17,162,5,10,8,364
13,33,24,12,80,187
9,44,19,8,42,238
16,83,12,9,79,150
20,11,22,13,9,201
15,34,19,7,42,153
17,34,15,8,51,163
19,101,15,4,62,250
9,88,24,13,25,214
19,74,24,9,97,227
17,119,23,9,86,236
12,75,22,3,71,156
19,12,17,11,56,130
24,107,13,11,17,214
9,77,6,7,79,211
10,109,10,6,91,211
11,95,19,10,61,210
17,95,23,10,64,235
9,96,18,2,5,197
16,26,12,5,84,67
14,196,5,12,11,396
23,99,5,4,26,203
10,133,22,9,9,322
11,67,25,9,44,184
16,85,9,5,30,225
13,205,12,4,54,340
1,206,11,1,37,350
10,87,10,11,100,108
15,105,6,8,8,159
13,106,9,13,68,179
18,14,17,2,2,95
25,57,10,7,7,227
9,58,21,8,58,132
8,218,24,3,7,319
14,128,18,8,10,287
17,15,22,14,66,194
21,130,9,10,86,223
12,225,8,13,36,267
11,15,22,4,3,81
10,46,22,13,60,188
12,61,20,9,24,82
23,116,5,7,19,187
21,156,7,12,22,276
7,63,10,6,36,230
11,119,24,12,21,222
20,120,6,7,20,267
14,160,21,5,73,199
11,121,5,6,73,311
16,16,7,1,15,129
25,33,21,10,39,207
17,17,22,6,33,157
19,145,14,12,2,295
12,50,24,1,41,152
13,147,6,6,4,329
14,127,5,4,3,185
10,34,16,14,72,189
12,129,25,4,86,154
8,173,20,10,30,279
14,152,25,13,79,256
21,175,9,7,45,293
12,18,16,2,26,189
14,111,25,2,2,236
8,134,25,14,42,289
14,36,25,2,20,153
10,113,19,8,71,228
12,114,17,1,92,169
14,18,8,6,73,120
19,74,16,3,22,182
15,19,19,13,21,159
10,19,15,10,70,52
14,56,7,8,98,180
15,38,8,10,1,151
15,57,23,4,57,256
15,38,7,13,25,207
12,193,11,5,76,276
15,170,15,13,51,272
18,171,13,11,55,251
16,172,20,11,46,274
17,20,18,6,98,126
17,297,21,10,22,386
21,60,16,11,40,240
8,176,17,11,75,314
13,40,9,3,51,157
6,152,8,1,97,284
10,61,17,13,70,166
11,205,15,6,5,330
14,62,20,12,8,81
11,104,9,3,95,215
15,313,11,9,82,455
8,131,12,2,97,273
14,185,13,8,22,343
17,42,23,8,69,182
17,107,16,9,4,277
12,188,25,4,89,314
13,216,25,1,42,351
19,108,11,4,88,237
13,109,25,2,61,211
9,219,6,12,57,361
19,88,19,4,58,217
18,44,11,1,91,139
14,195,14,11,28,297
17,335,21,2,2,440
13,112,12,6,95,246
14,90,13,6,39,244
15,113,10,12,1,138
14,23,14,11,67,142
