p,r,w,v,T,d
14,0,6,3,41,101
20,0,18,3,47,169
19,2,19,3,42,139
15,2,10,4,35,120
20,4,8,0,21,165
16,1,21,4,12,133
20,7,15,1,22,134
15,8,25,0,21,30
13,10,7,3,13,62
11,9,20,2,1,51
17,7,16,3,4,111
13,11,20,1,90,196
9,14,7,2,15,66
22,3,18,2,62,118
7,8,13,3,94,168
10,5,17,0,63,152
13,14,7,1,37,89
22,18,5,1,66,175
21,4,17,1,22,121
22,20,14,0,52,173
7,18,15,1,14,63
17,16,16,1,47,46
11,10,15,0,51,147
13,14,20,2,10,85
18,43,19,2,7,197
15,26,5,1,20,75
6,12,11,3,90,46
15,10,22,0,14,131
3,13,22,4,54,220
5,26,22,4,22,161
19,31,25,3,61,220
10,18,5,4,31,124
18,4,22,2,91,101
16,20,12,1,83,109
21,4,8,4,66,219
14,13,9,0,6,139
14,13,23,0,20,192
10,4,19,1,25,80
18,14,13,2,59,105
9,29,16,0,64,142
17,5,10,0,52,117
16,10,12,1,39,112
12,44,17,2,66,217
11,32,5,0,79,167
13,16,5,3,37,178
26,27,22,1,4,113
19,11,13,1,62,216
13,42,14,1,43,141
13,36,20,1,69,145
10,29,9,1,18,190
18,18,9,3,35,98
11,61,23,0,33,197
18,39,23,0,19,147
10,32,7,0,83,69
14,19,17,1,2,95
23,49,12,2,14,248
27,58,7,0,28,184
25,27,24,4,89,191
20,21,25,0,61,194
18,35,9,2,48,136
8,107,9,2,10,274
26,15,8,2,23,129
17,37,5,1,77,138
16,15,15,2,35,210
10,31,14,0,45,119
11,39,18,3,55,158
13,16,19,0,19,84
12,40,15,1,33,195
23,24,13,1,12,162
11,72,22,2,14,120
10,17,20,3,85,181
13,127,14,1,50,229
11,17,5,0,91,165
11,35,24,1,69,172
15,88,11,1,68,113
9,36,12,2,100,107
11,36,23,2,88,148
13,46,19,2,62,148
16,93,11,2,31,210
16,28,12,0,98,212
9,72,7,2,82,117
7,145,6,4,28,278
4,86,8,3,11,248
19,40,20,2,62,115
16,10,14,1,79,134
18,10,7,4,44,140
6,41,14,0,54,121
14,10,17,2,67,108
9,92,17,1,28,269
16,53,14,1,8,177
16,11,5,2,35,167
2,108,15,0,78,239
13,164,24,0,95,297
14,97,25,1,32,159
17,70,13,0,13,275
11,34,18,0,79,142
15,23,13,0,72,165
6,173,20,2,95,310
9,117,11,2,57,267
11,47,8,2,46,191
28,179,7,0,23,272
19,181,17,2,4,338
25,49,24,1,98,149
18,12,16,1,37,80
9,25,13,0,12,145
19,125,22,1,83,254
15,190,25,3,20,300
11,64,11,2,39,197
11,97,16,1,41,156
20,26,5,1,100,147
22,39,8,1,44,135
13,40,12,1,1,151
13,53,20,2,2,157
22,13,17,0,29,179
11,85,6,2,67,278
19,120,5,4,94,330
15,104,15,2,9,230
5,139,15,0,46,229
17,14,22,2,49,65
14,89,20,1,85,295
10,14,11,3,51,182
19,43,8,0,100,171
17,91,5,1,77,234
17,15,12,2,17,42
19,148,5,1,64,247
20,15,14,1,47,140
5,225,16,0,54,366
16,76,7,2,57,195
22,134,17,1,39,329
17,77,9,0,67,165
19,31,9,1,93,135
18,234,11,3,63,307
16,98,16,0,20,229
14,119,8,1,48,255
29,16,22,2,20,191
21,101,12,1,24,234
13,49,25,0,69,117
13,122,24,1,100,281
10,164,19,2,66,326
18,249,19,3,77,298
12,250,5,2,51,324
22,67,7,1,34,249
17,254,11,0,80,385
11,256,8,2,90,402
9,129,23,1,74,235
8,17,16,3,42,191
13,261,8,3,7,385
29,35,11,1,9,124
15,132,12,1,94,243
20,89,20,2,59,182
19,156,14,2,97,187
16,112,9,1,15,211
11,181,13,1,50,280
18,182,7,0,22,361
11,18,22,4,85,155
11,92,25,2,82,198
13,74,12,2,1,240
15,117,15,1,33,288
14,75,11,4,16,227
14,57,5,1,95,161
12,119,14,0,88,278
7,192,12,1,93,352
19,39,8,2,80,127
15,78,23,2,34,222
17,171,15,2,66,279
18,148,16,0,87,174
14,124,8,1,58,170
22,199,24,2,95,231
18,300,18,0,30,381
20,151,24,0,6,309
17,177,25,2,92,343
22,204,5,4,68,399
6,308,23,3,74,425
22,206,18,2,78,354
12,21,13,0,2,237
15,42,6,0,94,218
11,105,25,3,79,161
20,132,19,0,82,232
15,159,18,1,89,243
22,43,18,3,66,151
21,215,18,2,64,298
9,86,14,0,28,221
9,325,16,3,96,408
18,109,20,3,9,253
17,66,9,1,33,190
14,44,14,2,26,154
12,166,14,1,78,250
8,139,14,2,51,188
17,45,21,1,69,177
15,338,22,2,41,503
15,91,21,1,93,178
15,46,24,0,14,154
16,114,9,0,45,261
13,69,12,1,13,235
16,173,23,0,28,199
12,70,20,2,3,189
8,234,24,0,91,404
10,94,24,1,17,200
21,148,20,3,38,248
17,178,8,1,18,208
