p,r,w,v,T,d
15,0,7,4,55,96
11,1,7,2,12,88
26,0,21,2,68,188
3,1,9,3,58,46
18,0,10,4,64,195
14,1,19,3,47,152
18,3,20,2,60,103
5,2,7,4,38,77
9,4,14,2,95,90
23,5,11,1,65,190
27,6,17,2,83,174
11,7,16,1,98,148
11,1,14,2,33,19
12,8,15,2,60,195
9,4,7,2,14,217
11,3,23,2,76,144
11,3,16,1,34,90
22,5,8,4,93,46
24,9,19,1,14,108
13,7,16,3,70,132
11,6,10,2,25,30
17,5,6,4,78,140
19,8,12,4,85,119
18,12,6,2,58,102
31,11,14,2,98,169
18,22,9,2,76,79
18,23,11,1,53,171
15,3,10,4,82,144
16,5,5,4,54,142
7,2,20,3,46,75
1,13,9,1,67,51
16,6,20,1,77,143
15,9,10,3,68,81
10,17,14,2,16,111
12,13,9,1,74,83
19,8,17,2,11,125
8,32,6,2,43,184
20,19,10,1,21,197
4,34,20,3,73,159
24,5,25,2,21,144
13,15,21,2,79,172
18,36,13,4,42,121
16,16,8,4,20,117
16,16,14,3,6,141
15,8,15,1,96,192
11,17,6,4,26,123
9,11,20,1,77,148
19,28,15,3,2,104
13,3,8,4,87,113
21,29,24,3,24,155
16,15,18,1,26,148
22,15,14,3,70,181
19,27,21,4,33,191
18,6,15,1,84,93
8,10,18,1,24,74
16,10,13,4,63,190
17,7,24,1,51,87
16,34,17,4,89,125
20,26,12,4,2,158
9,35,13,3,25,79
15,27,5,4,73,76
12,23,10,3,48,170
20,18,10,2,50,174
8,56,23,4,76,128
10,19,24,1,52,206
17,39,16,2,100,176
11,59,14,3,91,142
18,4,5,1,5,94
15,60,11,4,2,129
9,61,18,1,82,82
23,31,18,2,89,178
16,26,6,2,44,172
9,13,16,2,92,179
20,17,13,4,23,146
17,27,20,1,24,118
12,13,9,4,22,162
15,9,20,2,19,146
12,40,8,3,76,160
11,9,13,2,55,57
14,5,7,1,51,56
9,24,18,4,44,97
21,42,24,1,95,117
12,43,14,1,71,186
10,49,15,4,40,158
29,10,5,4,14,140
7,50,18,3,24,162
19,10,25,2,1,221
23,15,6,2,30,181
18,16,17,3,65,174
11,11,25,4,47,142
17,53,8,2,87,222
15,5,19,4,97,141
6,41,9,3,70,181
19,41,12,2,99,160
11,84,17,2,99,200
14,11,8,2,71,63
4,85,17,2,15,221
15,17,18,2,67,151
14,44,13,4,77,172
12,6,25,3,40,115
17,18,6,2,78,146
7,12,12,4,96,86
9,30,23,3,45,66
12,53,23,1,39,209
9,31,23,1,74,181
12,54,19,4,97,200
12,47,12,4,27,114
11,40,7,1,74,189
18,96,14,2,58,254
16,40,14,2,5,202
17,41,23,4,21,99
15,41,6,2,30,188
20,7,9,4,95,152
9,33,10,4,37,122
9,101,23,1,87,256
11,51,23,1,40,170
18,7,8,2,48,156
15,7,17,1,37,93
10,35,22,4,35,51
19,28,11,4,57,167
22,44,17,1,73,103
20,29,6,4,97,260
19,7,25,2,26,95
21,29,13,1,28,231
6,55,21,4,23,192
12,74,25,4,40,160
17,65,23,1,57,192
23,8,6,4,58,179
16,8,11,4,58,96
15,23,5,2,46,89
16,31,9,2,62,164
22,16,18,3,87,136
20,31,21,2,16,211
17,39,15,3,36,218
19,50,10,4,71,225
11,80,24,3,20,152
14,81,14,4,17,277
8,61,13,4,56,243
23,33,9,2,18,217
7,62,5,1,88,226
15,33,14,1,31,64
16,84,7,4,2,197
20,34,24,3,37,60
7,8,16,3,62,211
8,75,14,1,68,189
20,43,7,3,15,146
13,17,6,4,25,139
10,65,12,3,96,128
17,18,13,1,41,60
16,9,13,2,92,32
11,27,18,2,34,148
24,89,22,3,85,189
18,56,10,1,97,229
15,57,5,3,89,202
7,9,14,3,25,202
23,69,12,3,15,220
14,46,10,1,35,67
17,37,18,1,68,86
11,28,12,3,52,49
20,82,8,4,3,166
18,142,8,4,61,288
13,143,10,1,69,263
10,19,16,1,55,95
16,72,9,1,18,180
8,73,21,3,19,115
17,39,25,4,86,246
22,20,24,4,30,149
15,10,20,2,45,128
18,20,5,1,54,169
8,10,11,3,99,99
7,101,15,1,91,283
18,89,11,1,40,264
15,51,20,2,72,188
15,64,23,1,94,187
21,64,8,2,31,191
13,156,5,2,100,274
15,52,7,3,24,183
9,157,13,2,21,262
16,32,18,2,12,98
16,106,19,1,47,208
11,93,20,4,60,288
13,21,24,2,57,43
12,162,24,3,28,203
13,81,19,2,93,233
12,33,21,2,74,146
14,33,18,4,39,149
19,11,5,3,93,91
20,166,23,2,98,205
11,97,23,4,98,285
20,98,16,1,29,223
19,45,17,3,48,132
19,113,24,3,65,208
13,171,6,1,86,250
12,172,8,1,54,304
31,46,17,3,37,257
24,116,5,4,88,247
12,35,18,1,59,171
12,102,6,3,72,206
5,23,15,1,44,138
11,103,17,3,45,142
