p,r,w,v,T,d
14,0,9,3,74,79
22,1,6,4,100,36
20,0,23,4,54,82
14,1,7,1,46,81
6,1,8,3,11,44
12,6,12,4,51,202
22,7,25,1,45,200
16,9,20,3,83,132
16,13,13,1,34,63
24,2,24,1,62,115
17,5,18,1,93,135
26,10,21,3,57,208
22,16,24,1,72,121
11,5,7,4,10,58
19,19,18,3,26,182
18,40,7,1,52,165
17,43,21,1,35,152
7,9,6,1,94,134
16,6,11,3,56,107
13,10,7,1,1,148
13,31,7,1,98,162
18,56,20,3,58,255
16,4,25,3,64,74
10,12,7,3,89,183
19,4,20,1,19,124
20,9,13,1,16,140
17,19,5,1,32,200
25,19,18,4,44,229
7,5,13,4,32,185
13,45,15,4,12,205
20,40,12,3,93,130
12,56,19,3,77,194
19,43,22,3,86,192
22,6,16,2,98,104
16,18,8,2,43,130
20,47,25,3,91,179
17,64,16,1,34,211
18,20,15,4,42,77
20,27,19,3,64,142
13,105,19,4,75,258
16,45,7,3,66,198
15,29,19,2,10,215
20,75,20,3,3,198
14,67,16,2,95,211
18,79,9,2,79,121
9,40,20,1,40,188
14,33,18,2,12,131
19,42,21,3,9,145
20,26,24,2,87,153
27,26,17,3,30,193
6,36,6,4,1,182
10,137,8,1,52,266
15,58,5,3,19,217
9,28,21,2,23,152
5,19,8,1,25,132
6,49,15,1,14,185
20,88,10,2,5,209
22,31,25,2,37,112
8,31,5,2,63,163
20,21,10,4,55,150
21,94,5,4,57,178
11,44,13,2,22,250
13,33,8,1,19,162
8,71,17,3,59,90
3,86,18,4,66,199
11,116,16,2,39,285
13,118,21,3,88,261
23,180,18,2,18,317
12,183,16,2,26,348
16,124,11,2,70,264
19,94,5,4,63,192
5,95,9,4,64,227
19,52,21,2,1,212
19,65,20,1,48,143
21,83,9,1,2,170
20,202,24,4,93,313
11,85,19,3,41,211
27,55,23,1,20,174
14,56,14,3,45,189
17,28,22,3,67,92
18,29,21,1,77,157
14,218,13,2,7,260
13,15,16,1,46,62
10,30,22,1,48,141
7,75,10,3,30,88
12,76,25,1,59,160
11,15,8,4,19,133
7,31,5,1,26,79
17,79,7,3,98,213
24,140,13,3,68,186
9,101,9,1,92,279
18,122,13,2,51,191
22,82,6,3,26,227
18,33,5,2,15,57
19,17,25,2,84,99
18,17,22,1,63,124
8,17,11,4,79,214
10,87,13,4,89,218
18,110,16,2,42,159
17,111,18,3,48,260
12,18,25,4,81,208
12,72,14,2,26,165
14,114,22,4,8,303
10,55,23,2,32,167
13,19,10,2,23,118
16,165,17,2,56,360
22,19,5,4,65,247
11,168,19,3,50,223
10,169,10,1,36,286
14,20,16,2,20,124
10,172,6,4,32,350
14,149,6,2,63,343
6,40,6,4,1,113
21,202,19,2,63,229
17,204,6,1,14,388
16,62,18,1,96,232
19,208,17,4,19,415
14,42,10,2,57,111
16,85,10,3,78,202
14,107,23,2,73,238
14,188,13,1,57,254
6,135,21,1,59,262
14,219,9,3,71,316
23,165,24,1,69,292
10,67,13,2,47,209
12,90,11,2,81,130
21,198,9,2,39,352
11,199,15,4,52,256
24,172,23,1,23,298
9,173,13,4,74,295
20,116,9,4,100,219
11,352,24,4,85,562
17,47,23,4,52,111
17,208,7,2,82,357
11,210,17,3,27,320
8,151,18,1,27,268
14,365,16,2,43,566
9,98,6,3,88,171
18,155,21,4,89,279
15,50,19,3,85,192
9,376,24,1,51,559
22,76,13,4,47,274
22,382,10,4,36,475
12,384,19,2,8,504
13,161,14,1,83,288
18,52,13,1,60,99
10,392,18,3,10,409
18,53,5,1,67,226
12,133,10,3,60,243
18,267,23,3,27,394
19,202,6,3,26,263
10,406,6,3,51,557
14,27,15,4,38,132
19,171,5,4,7,319
11,172,16,2,54,359
10,278,16,3,32,353
12,279,22,1,12,421
6,422,9,2,11,527
9,425,19,4,68,455
23,114,7,4,82,251
17,143,21,4,30,298
10,288,15,1,38,390
14,218,13,1,41,279
13,183,21,1,57,252
11,294,14,1,62,423
25,259,13,4,74,305
12,149,6,3,14,242
16,120,16,3,68,249
6,120,25,4,96,211
10,121,17,4,74,333
21,457,9,1,87,680
15,230,7,3,38,381
16,123,15,1,66,167
15,194,18,4,95,314
10,62,5,3,14,121
18,314,10,1,25,392
18,95,21,4,80,160
13,159,19,1,84,220
20,279,12,1,52,329
15,241,12,2,1,326
8,97,5,1,86,318
7,243,8,2,67,346
21,163,18,1,21,308
15,66,25,3,81,150
19,494,7,3,97,601
14,133,15,3,93,208
9,333,21,1,36,431
7,209,11,4,47,222
23,34,10,4,7,155
11,339,17,1,47,514
12,34,12,2,59,111
19,103,9,3,84,273
11,215,17,1,4,350
17,519,5,1,73,550
21,261,10,2,30,360
18,175,7,1,39,376
11,35,25,1,87,167
15,106,6,4,49,225
15,310,16,3,89,420
13,71,10,1,4,216
