p,r,w,v,T,d
17,0,18,2,59,52
9,2,14,2,29,105
9,1,12,3,19,73
10,3,10,4,50,71
9,2,20,3,5,69
15,1,19,2,42,93
27,2,11,1,25,54
18,2,10,4,49,84
13,9,25,3,62,46
17,10,20,1,13,68
23,9,6,3,51,121
15,14,25,3,78,75
14,6,18,4,7,26
9,6,8,4,13,71
14,17,8,1,75,132
19,6,16,1,26,94
18,4,12,4,7,75
10,13,6,1,19,72
12,2,22,2,48,124
16,12,8,1,90,69
17,22,11,4,2,117
22,26,18,3,66,132
17,21,17,2,76,77
22,11,6,1,74,86
20,19,7,1,77,89
16,19,21,4,60,117
15,32,21,4,71,93
17,34,15,2,98,109
16,7,10,3,91,87
11,32,18,1,75,146
10,56,25,3,18,142
20,12,23,2,57,120
20,4,21,3,41,78
11,12,17,4,46,83
16,64,16,1,48,133
13,44,20,2,70,79
13,34,10,4,67,109
18,69,9,2,76,160
14,19,20,1,81,87
22,5,24,4,9,77
10,10,21,4,50,74
12,26,22,4,7,121
17,33,5,1,38,106
17,80,11,2,21,154
15,27,7,2,98,105
11,56,17,2,19,128
18,11,14,4,52,72
14,44,6,4,68,106
25,30,16,1,60,121
17,31,6,3,64,139
21,39,10,1,26,122
25,6,25,2,68,83
11,32,24,4,93,127
15,41,15,4,14,100
21,13,18,4,78,121
18,51,12,1,20,108
17,70,14,3,97,189
10,71,8,3,9,89
18,36,21,1,10,77
14,29,17,3,93,113
20,65,5,2,4,103
23,76,16,2,16,114
18,68,20,4,10,95
18,78,19,3,51,192
18,80,17,3,48,145
14,61,19,4,40,141
17,16,8,4,27,99
6,25,18,2,43,63
14,127,20,4,74,207
21,26,25,1,91,86
19,26,19,3,100,117
11,27,12,2,78,101
21,78,19,1,84,149
18,68,14,2,61,109
23,81,15,4,74,159
17,9,18,3,36,70
16,28,14,4,42,104
15,84,22,2,25,155
15,19,11,4,54,79
17,10,13,1,35,81
9,149,22,2,60,227
25,63,19,2,81,140
8,102,6,1,85,205
18,10,22,1,64,69
12,10,24,2,26,71
6,11,12,4,66,25
18,80,17,1,41,185
18,95,19,1,14,173
19,96,20,3,57,146
18,111,24,3,22,198
15,11,23,4,90,69
13,170,10,3,18,231
17,86,19,4,72,164
14,23,22,4,35,84
16,23,9,1,25,88
20,118,25,1,100,165
13,48,7,1,63,113
12,75,24,1,99,186
16,122,21,2,68,208
14,49,7,4,26,140
19,50,23,1,86,98
16,94,15,3,51,161
10,25,6,4,35,58
7,192,16,1,57,259
2,97,20,3,56,110
19,52,13,4,47,104
13,40,15,1,1,102
12,53,6,3,6,143
20,40,22,2,39,114
24,68,20,3,87,114
15,41,23,1,70,75
13,69,21,4,62,139
18,209,9,1,56,282
14,70,13,2,100,151
24,43,11,1,57,130
7,215,6,4,78,268
11,72,25,2,54,149
18,91,18,4,43,125
22,92,17,1,52,145
21,93,22,3,52,149
12,15,14,1,19,77
12,45,7,1,69,82
17,76,12,1,67,108
10,134,5,2,8,203
17,31,9,3,75,104
18,117,22,3,74,166
18,98,24,1,99,202
11,138,14,1,14,200
16,32,22,2,99,135
15,32,18,3,33,71
10,65,13,4,96,132
9,143,15,1,69,257
12,16,15,1,82,67
10,17,17,3,99,75
11,250,11,4,3,354
7,50,14,3,40,69
12,127,16,2,53,178
21,17,24,3,21,80
18,107,25,3,18,135
25,87,11,4,54,197
9,35,13,4,95,69
19,70,7,2,50,160
20,35,20,1,52,71
12,111,18,4,22,225
17,112,20,1,15,180
22,158,8,1,47,227
19,273,21,2,84,356
19,275,16,2,37,377
9,138,25,1,6,174
14,37,18,1,98,114
17,163,7,1,60,234
14,141,18,1,70,210
21,189,24,2,88,248
15,76,12,3,65,169
30,19,23,2,4,97
21,97,12,1,57,170
7,78,5,4,78,106
11,20,25,3,3,111
5,123,6,4,64,168
11,198,22,4,35,229
16,80,19,2,46,151
18,100,14,2,46,159
22,202,22,3,7,318
25,20,9,3,37,83
11,306,11,1,73,377
18,308,22,2,74,389
10,62,20,3,32,143
11,130,10,2,53,181
18,84,20,3,55,154
14,21,14,3,20,102
15,106,16,4,39,180
20,160,19,3,47,245
13,21,15,2,74,88
15,323,24,1,76,353
7,325,9,2,16,411
10,136,16,4,11,207
25,137,13,2,69,171
22,193,14,1,87,319
16,44,6,3,27,101
18,139,12,3,33,220
12,168,5,4,77,269
15,225,25,1,71,317
15,340,17,3,3,394
13,114,21,3,79,174
16,115,25,4,5,199
17,115,10,3,98,214
18,232,18,1,25,306
11,70,22,1,43,130
15,205,5,2,3,287
11,47,13,4,47,98
14,95,10,1,41,131
13,208,11,4,5,295
12,96,9,2,78,169
19,72,14,2,61,170
15,362,21,3,31,431
18,73,6,3,96,152
13,183,19,2,46,256
19,98,6,2,54,168
20,216,8,2,34,261
13,186,24,3,67,250
