p,r,w,v,T,d
7,0,8,2,40,210
11,0,16,2,21,100
17,1,13,3,42,105
19,2,6,2,38,79
10,1,19,4,8,119
16,9,24,3,54,113
17,6,25,3,64,139
18,2,18,3,73,126
9,6,17,2,63,42
7,16,13,1,80,115
15,12,16,3,1,175
11,12,8,4,79,134
18,1,17,4,42,127
6,3,5,4,30,138
17,8,22,1,59,156
13,27,25,1,5,71
11,6,7,3,49,53
11,31,13,1,62,109
15,7,22,4,11,136
17,5,15,3,90,148
11,5,21,1,64,124
10,3,21,1,34,73
26,5,25,1,38,142
12,6,23,1,87,74
23,18,20,1,80,232
25,12,17,1,80,194
13,16,16,2,93,38
15,13,17,2,47,121
23,7,11,1,27,165
4,53,14,1,12,236
10,15,5,3,86,135
12,19,23,2,84,115
23,24,5,3,43,161
5,4,11,2,13,202
9,41,18,3,71,178
12,21,17,1,66,181
8,13,20,2,69,136
22,18,8,3,96,116
18,14,18,1,86,193
21,19,19,2,91,160
24,24,15,2,19,160
16,15,19,2,90,38
5,15,8,4,75,81
14,33,21,2,47,200
22,5,18,3,78,81
20,82,5,3,90,208
17,11,23,1,50,111
16,43,9,3,53,179
16,29,10,2,73,164
17,59,23,1,38,164
18,45,22,1,76,182
12,62,12,3,60,125
25,19,16,1,93,178
13,64,19,4,94,175
15,13,11,4,38,172
16,42,25,4,65,157
18,68,20,1,34,202
15,21,23,4,73,183
15,28,7,3,63,178
14,71,9,2,25,178
13,73,10,3,31,247
12,46,17,1,9,67
9,47,24,1,26,108
21,30,12,1,89,160
16,31,19,3,55,139
11,118,22,2,36,260
19,50,6,2,98,93
8,122,18,1,79,250
14,72,5,4,75,234
13,125,9,3,49,153
15,53,14,2,91,152
8,129,22,2,62,239
18,35,24,4,19,124
18,88,12,3,87,290
19,45,23,4,2,262
16,18,9,3,61,131
22,46,20,3,65,217
11,82,20,4,96,163
13,47,15,2,40,154
17,10,18,4,99,199
16,19,11,1,7,152
15,61,19,3,90,83
15,40,18,4,37,108
17,50,13,2,64,87
11,51,9,1,22,238
22,64,25,3,93,140
16,91,13,2,9,214
20,11,23,4,21,228
7,43,17,2,98,162
1,162,23,2,67,193
18,82,17,4,28,232
21,69,23,3,94,187
20,45,8,1,76,240
14,11,16,2,89,70
25,171,5,4,8,392
17,34,24,2,80,200
14,46,19,4,42,255
26,88,12,2,79,168
20,12,22,2,9,211
30,36,19,4,42,175
13,36,15,4,51,167
11,107,15,2,62,255
11,93,24,3,25,228
23,78,24,3,97,243
21,126,23,4,86,252
10,79,22,2,71,161
17,13,17,4,56,135
11,113,13,1,17,211
14,82,6,2,79,228
13,115,10,4,91,225
7,100,19,3,61,217
17,101,23,2,64,248
13,102,18,3,5,212
21,27,12,1,84,74
15,207,5,3,11,418
11,104,5,4,26,201
11,140,22,1,9,340
16,71,25,1,44,199
17,89,9,1,30,237
14,216,12,3,54,358
20,218,11,1,37,389
13,92,10,4,100,117
20,111,6,4,8,172
19,112,9,2,68,195
16,15,17,3,2,97
17,60,10,4,7,230
17,61,21,2,58,147
16,231,24,1,7,346
15,136,18,4,10,304
25,16,22,2,66,212
19,138,9,1,86,233
7,238,8,4,36,276
18,16,22,2,3,92
29,48,22,4,60,216
16,65,20,2,24,90
6,123,5,2,19,180
15,165,7,4,22,284
22,66,10,1,36,257
11,125,24,1,21,233
8,126,6,3,20,268
13,169,21,1,73,208
10,128,5,2,73,327
11,17,7,4,15,131
14,35,21,3,39,206
17,17,22,2,33,164
26,154,14,4,2,319
16,53,24,3,41,164
16,156,6,1,4,350
9,134,5,2,3,190
16,36,16,3,72,205
15,136,25,3,86,164
14,183,20,4,30,300
15,161,25,1,79,271
15,185,9,1,45,302
11,19,16,3,26,198
9,117,25,3,2,243
15,142,25,3,42,312
21,38,25,4,20,168
13,119,19,4,71,242
19,120,17,2,92,184
12,19,8,4,73,124
13,78,16,4,22,185
10,20,19,2,21,162
18,20,15,2,70,63
10,60,7,3,98,186
14,40,8,4,1,157
10,60,23,1,57,264
13,40,7,1,25,216
13,203,11,1,76,291
14,179,15,2,51,285
15,180,13,2,55,260
18,181,20,2,46,289
11,21,18,3,98,126
17,314,21,3,22,407
16,63,16,2,40,247
16,185,17,1,75,338
14,43,9,1,51,167
16,161,8,2,97,310
16,65,17,3,70,182
20,217,15,1,5,357
11,65,20,4,8,81
17,110,9,3,95,233
15,330,11,1,82,479
12,138,12,2,97,291
19,195,13,3,22,366
11,45,23,3,69,186
10,113,16,1,4,284
15,198,25,2,89,333
11,227,25,2,42,367
6,114,11,1,88,236
23,115,25,1,61,232
12,231,6,4,57,384
11,93,19,2,58,220
19,47,11,2,91,147
23,205,14,1,28,321
19,354,21,1,2,466
12,119,12,2,95,259
18,95,13,3,39,261
21,120,10,3,1,151
11,24,14,1,67,146
