p,r,w,v,T,d
8,0,6,2,30,67
17,0,17,4,12,91
8,1,19,3,11,153
11,1,10,4,9,118
15,7,8,1,27,137
26,4,10,4,28,120
19,1,9,1,9,172
16,7,10,3,13,32
11,9,8,3,19,182
20,5,18,3,21,111
18,2,11,4,20,114
22,8,25,2,13,115
15,6,20,2,17,166
13,23,9,4,13,152
16,25,20,1,17,142
9,15,19,1,16,163
6,19,23,2,22,139
16,10,9,1,3,131
16,8,15,1,2,31
14,17,8,1,25,69
10,5,16,3,16,46
10,7,16,1,12,103
17,26,20,1,14,211
17,3,13,1,17,62
25,8,8,2,2,124
14,12,20,3,8,176
10,30,11,1,13,174
10,24,14,1,21,94
18,29,13,4,22,179
17,14,19,3,20,125
17,7,20,2,11,152
8,7,22,1,19,52
15,19,12,4,10,46
19,15,12,1,1,157
9,4,9,2,20,70
18,31,24,2,8,182
12,26,10,1,3,71
11,17,13,3,28,56
16,67,5,1,19,187
8,23,13,2,3,231
19,14,17,1,22,160
10,10,23,1,12,186
20,43,20,4,17,157
10,50,16,2,24,137
9,26,10,4,3,107
19,21,10,3,23,230
24,16,6,4,25,149
15,16,25,3,3,193
21,6,12,4,5,92
18,29,12,1,4,119
14,44,23,3,1,160
24,89,6,1,10,206
18,6,19,3,27,108
8,12,11,1,8,177
23,39,17,3,6,184
6,40,11,3,29,192
16,98,22,2,21,172
18,100,16,2,27,300
10,102,10,2,8,197
9,34,23,1,3,137
24,28,24,2,1,200
9,71,14,4,17,141
22,14,13,2,26,158
18,22,8,1,14,128
18,7,12,1,19,51
21,76,9,2,25,158
22,39,12,4,1,233
19,31,6,4,13,147
13,8,6,2,14,157
9,16,18,1,9,175
13,71,21,2,13,166
11,25,13,1,26,192
19,34,24,4,14,140
13,128,17,4,8,223
23,54,20,2,21,252
16,66,25,4,26,159
16,27,10,1,26,149
6,56,9,3,5,116
10,9,25,1,7,159
7,81,12,1,11,200
14,37,12,4,25,87
2,59,7,3,21,212
18,19,6,1,7,125
9,97,8,1,3,240
3,61,20,4,16,188
22,40,14,1,20,72
19,63,7,4,11,143
21,10,14,1,27,130
12,41,17,3,17,140
22,21,17,4,7,142
8,11,14,2,2,183
19,80,5,3,9,134
19,107,15,2,28,250
15,11,22,4,24,181
14,165,25,4,8,234
20,166,13,3,30,292
22,56,7,2,14,188
17,11,24,4,17,101
16,86,9,4,24,184
23,35,11,4,15,223
20,73,8,2,12,198
27,47,7,1,26,211
21,119,17,3,29,266
16,60,20,1,25,194
8,121,16,3,10,176
3,37,13,3,3,224
14,108,22,3,21,217
17,187,25,3,5,328
7,95,11,1,10,230
13,127,16,1,11,278
5,128,5,3,25,263
13,194,8,4,11,271
14,65,12,4,28,214
23,40,9,1,1,136
10,67,17,4,27,126
19,117,25,2,17,245
16,41,5,2,24,164
10,27,15,4,3,130
25,121,9,3,5,265
11,122,16,3,13,180
13,140,20,2,22,252
18,56,11,2,13,147
19,28,8,2,25,143
17,72,5,3,20,178
24,29,12,3,5,194
4,15,5,4,30,197
9,129,19,1,27,325
16,59,12,3,18,183
15,45,20,3,17,144
18,94,22,4,22,145
15,152,14,3,10,355
10,134,8,1,4,299
12,135,22,2,15,254
25,116,20,3,19,265
14,156,12,1,1,180
13,236,14,3,21,328
15,119,13,1,30,237
28,140,18,1,28,301
17,161,19,4,23,278
15,162,20,3,16,346
12,49,16,1,13,131
12,33,21,1,27,128
3,83,5,4,6,140
22,104,25,3,24,239
16,126,24,1,15,262
9,169,22,4,8,321
12,149,22,1,11,271
19,257,8,1,2,329
18,52,11,4,3,213
25,52,12,3,24,226
11,153,20,2,15,195
11,132,14,1,25,204
18,111,9,3,4,285
15,36,13,3,13,163
12,72,7,4,6,216
21,36,15,2,22,152
13,91,25,2,21,267
15,55,12,1,1,178
15,138,15,1,9,212
19,56,11,2,4,169
17,117,5,2,24,205
16,282,14,2,22,310
13,165,12,2,24,259
8,285,8,4,20,379
11,19,23,3,27,188
8,120,15,2,17,251
6,145,16,1,22,244
16,171,8,2,15,337
12,123,24,4,24,288
5,296,18,3,8,436
4,99,24,1,2,191
11,200,25,2,23,355
1,100,6,1,17,251
9,61,23,3,26,137
18,61,8,2,6,206
9,20,16,1,25,118
8,62,13,2,16,78
20,41,10,2,1,93
27,182,24,3,20,219
16,21,24,3,8,99
10,131,14,1,18,276
13,211,14,3,7,370
6,319,11,2,16,494
12,43,20,4,26,164
10,21,25,2,15,155
10,324,21,3,26,534
13,163,13,2,24,334
16,109,11,1,29,169
16,88,15,2,18,182
10,22,6,4,10,100
11,111,15,1,22,206
11,334,20,2,30,405
20,22,23,3,12,165
10,141,23,1,25,224
23,142,22,3,19,289
10,142,15,2,15,257
13,92,17,1,17,199
18,23,10,2,1,112
9,46,17,1,5,95
23,145,22,1,15,280
