p,r,w,v,T,d
18,0,9,2,76,133
13,0,17,3,113,130
10,1,22,4,128,147
18,0,20,3,91,129
26,0,16,2,56,164
23,4,16,4,77,33
7,1,22,1,79,41
18,5,11,2,114,127
18,5,11,2,106,62
9,15,12,2,135,136
4,17,24,4,105,185
13,13,19,4,102,58
12,12,12,1,127,146
14,15,24,4,131,166
20,8,19,1,102,186
12,5,9,1,115,178
16,6,21,4,150,44
13,17,6,2,106,141
9,13,10,1,86,112
19,22,19,1,87,151
20,17,6,1,121,186
14,5,5,3,155,133
8,10,24,2,110,28
20,16,25,2,69,162
5,3,11,3,53,84
11,6,20,4,121,62
22,15,21,3,133,163
11,15,15,3,105,171
13,24,13,3,130,104
13,3,14,4,37,70
13,10,10,1,55,135
20,36,21,3,74,194
15,15,12,4,81,98
20,28,23,1,80,131
10,4,25,2,92,119
12,16,11,3,148,132
22,62,19,4,152,147
6,42,8,1,58,109
8,65,7,3,110,181
14,22,17,3,90,128
14,29,22,2,153,120
16,35,13,4,113,76
11,72,8,4,148,255
22,15,16,1,84,215
12,10,17,1,115,127
18,45,5,3,65,124
9,40,10,3,115,78
20,81,21,1,151,222
23,41,19,3,103,127
10,11,15,1,121,57
20,43,19,4,103,240
12,18,19,1,89,194
20,6,23,4,116,129
13,46,22,1,55,91
14,31,22,1,117,130
14,55,24,4,129,177
17,13,13,3,64,195
8,33,17,1,112,120
11,50,10,2,133,101
12,7,25,1,88,157
15,14,24,2,106,132
13,28,10,1,46,129
14,28,25,1,122,155
11,7,13,2,106,99
13,64,8,2,110,197
16,15,24,2,92,145
6,38,24,2,111,218
13,77,25,4,117,141
14,68,14,2,113,236
18,49,17,2,89,164
20,16,9,1,46,143
19,33,11,1,89,209
17,62,5,2,110,257
14,73,9,3,105,253
13,34,17,1,151,188
10,17,6,4,42,94
17,9,9,2,65,147
20,44,17,4,63,189
9,18,23,2,91,100
18,79,24,1,55,189
3,80,25,4,57,190
20,58,9,2,114,203
17,94,19,3,134,148
17,38,21,4,116,146
15,19,13,4,96,169
17,19,23,1,61,167
1,99,5,3,50,264
13,150,10,3,38,262
16,63,9,3,107,203
19,41,14,1,98,83
11,52,21,2,86,196
10,31,25,2,133,122
14,105,16,4,60,199
5,93,22,2,134,201
12,11,8,2,77,158
14,44,5,4,97,192
11,96,16,2,103,221
13,33,24,3,130,184
14,84,9,2,123,209
12,85,20,4,113,201
22,115,7,3,170,261
14,101,25,4,104,212
15,35,17,2,85,106
13,47,5,2,74,179
11,48,17,4,120,164
13,105,21,1,116,178
4,36,20,1,87,227
12,123,6,2,154,247
6,25,6,2,99,41
9,109,20,2,133,223
23,110,19,4,144,285
21,191,17,2,38,337
10,13,17,3,90,132
19,129,17,2,58,294
10,65,24,4,116,194
12,40,8,3,119,127
15,53,25,4,119,190
16,40,16,4,73,192
26,41,10,4,154,123
12,27,23,1,102,102
15,103,25,3,124,205
12,69,16,2,132,192
7,70,12,4,160,165
18,42,10,2,145,174
20,28,14,1,46,93
12,90,17,2,89,207
16,217,7,2,101,260
7,91,8,3,89,130
17,73,24,4,59,187
17,92,14,3,65,115
26,74,19,4,140,169
22,150,20,4,93,275
9,151,25,3,103,199
14,114,9,4,120,240
13,15,16,3,146,49
12,15,6,2,100,189
19,156,18,3,115,224
21,47,7,2,133,186
5,47,20,2,114,58
18,159,12,1,94,238
13,32,5,4,93,130
19,162,12,3,137,362
17,122,9,2,92,256
18,246,5,4,104,293
9,17,12,1,89,153
15,33,13,3,141,219
20,33,6,1,118,131
15,17,21,2,97,200
16,106,12,3,79,220
17,107,14,1,155,206
16,107,13,1,110,295
11,151,6,1,159,360
14,109,25,3,90,166
14,88,19,2,144,205
16,176,11,2,89,278
18,89,9,3,98,268
9,156,19,4,61,338
12,270,14,4,144,347
20,136,12,2,71,162
16,273,10,4,102,449
9,18,12,4,47,175
16,18,19,1,97,215
13,93,25,1,94,159
15,75,9,1,61,187
2,282,23,2,115,397
24,95,18,2,106,169
10,119,25,1,119,245
10,19,13,4,84,108
20,120,24,3,113,240
12,58,25,2,57,197
8,170,12,4,114,205
16,294,20,3,83,438
10,79,10,1,96,133
18,59,11,2,64,175
18,80,20,4,83,207
18,60,8,2,102,157
20,81,15,4,119,292
14,152,13,4,114,211
12,61,14,4,137,200
23,154,12,1,89,272
8,41,13,3,77,153
12,311,8,1,94,503
14,21,25,1,121,97
17,184,15,2,90,303
21,316,23,3,99,459
17,133,19,4,91,317
15,64,12,2,78,247
20,86,8,3,44,174
23,323,22,2,146,449
22,135,24,1,60,266
5,136,14,2,79,169
7,22,22,3,17,36
17,138,18,4,107,303
14,194,11,2,106,302
8,89,21,3,140,201
5,112,5,1,128,157
18,225,10,4,97,378
8,339,17,4,67,434
10,170,20,3,91,304
19,342,19,1,78,530
