p,r,w,v,T,d
14,0,25,1,140,211
11,1,24,2,132,304
20,1,24,1,199,338
7,7,24,3,158,572
16,5,25,1,185,387
22,3,24,1,122,385
20,4,24,1,157,365
17,3,24,1,159,407
19,6,24,1,102,377
17,12,24,1,180,522
23,11,25,2,128,347
21,24,24,2,109,305
27,11,24,1,175,187
15,29,24,1,174,348
19,8,25,1,131,446
14,33,24,2,138,463
14,7,24,1,151,381
18,19,25,1,117,326
22,17,25,1,189,427
21,3,25,1,173,553
23,15,24,1,189,371
20,6,25,1,179,341
17,29,24,1,139,379
14,30,25,1,143,299
16,22,24,1,139,344
15,56,24,1,129,399
24,39,25,1,161,333
16,40,25,1,176,419
30,17,25,3,105,441
16,38,25,1,142,418
18,18,24,4,120,366
19,46,24,1,156,260
19,14,24,1,198,409
18,31,24,1,113,480
25,15,24,1,194,50
23,16,24,1,153,390
14,21,24,1,167,236
23,22,25,1,188,445
11,84,24,1,140,249
15,58,25,2,137,510
17,89,24,1,124,575
20,38,24,1,168,357
9,12,25,1,157,514
21,40,24,1,118,188
13,65,25,1,129,366
22,20,24,1,187,223
23,14,25,2,126,144
18,28,24,1,192,352
14,107,24,1,137,384
15,7,25,1,178,258
19,46,25,1,185,146
21,66,25,1,103,392
16,31,24,1,161,434
15,118,24,1,180,399
22,8,24,1,149,246
20,41,25,1,117,404
26,73,25,1,135,109
13,84,25,2,169,651
19,129,25,1,163,456
19,26,25,1,143,273
22,18,24,1,200,407
18,90,25,1,200,597
22,57,24,1,142,155
16,37,25,1,168,433
23,83,24,1,168,503
23,48,24,2,103,556
19,39,24,1,192,452
15,62,24,1,154,456
13,88,25,1,180,223
27,102,24,2,190,526
18,65,25,1,125,385
24,79,25,2,179,592
19,67,24,1,187,101
28,43,24,3,158,369
25,33,24,1,159,273
8,33,24,1,134,317
17,84,25,2,145,245
19,171,24,2,100,401
18,87,24,2,180,177
22,12,24,2,103,327
22,24,24,2,187,479
22,90,24,1,100,512
20,61,25,1,115,614
15,49,24,1,169,430
15,12,25,1,165,293
16,110,25,1,136,467
20,38,25,1,184,433
20,26,24,1,101,374
15,114,25,1,120,497
13,26,25,1,166,287
16,27,25,1,117,234
19,54,25,1,197,345
20,102,24,1,140,449
15,121,25,1,113,585
24,28,24,1,168,302
12,88,25,1,127,255
20,124,24,1,158,552
17,216,25,1,161,503
15,73,24,3,185,487
21,44,25,1,107,460
15,15,25,1,120,308
23,15,25,1,184,186
24,94,25,1,144,483
18,134,24,1,125,410
13,154,25,3,161,678
27,16,25,1,123,364
14,79,24,1,188,438
18,139,25,1,155,365
17,16,24,1,108,278
17,48,24,4,156,596
18,65,25,1,173,524
22,33,24,1,159,299
15,83,25,2,143,525
22,146,24,1,162,604
19,127,24,2,141,263
14,34,25,1,183,372
21,258,24,1,174,458
19,152,24,1,173,508
19,52,25,1,188,467
15,88,24,1,156,506
16,178,24,1,126,310
10,36,24,1,122,356
18,36,25,2,182,427
17,114,25,1,146,177
20,18,25,1,148,212
24,116,25,1,161,559
16,56,24,1,163,80
17,282,25,1,142,759
19,142,25,1,162,581
25,119,24,1,179,482
19,19,25,1,167,355
12,291,24,1,151,672
23,20,25,3,164,256
17,20,24,3,139,382
19,298,25,1,108,438
15,60,25,1,187,272
18,302,25,1,164,517
19,81,24,1,173,365
18,102,24,2,108,394
16,103,25,1,110,648
13,311,25,1,138,710
17,21,25,2,183,597
24,131,25,1,153,454
21,318,24,1,155,830
17,43,24,1,121,400
23,64,25,1,160,476
20,216,24,1,120,366
16,109,25,1,174,367
14,192,25,1,183,515
23,44,25,1,114,675
19,194,24,2,198,280
17,112,25,1,104,490
15,113,24,2,106,309
23,23,25,1,134,481
28,68,25,1,170,400
16,23,25,2,140,367
18,347,25,2,126,803
17,23,24,1,136,432
26,47,25,1,129,525
20,147,24,1,184,437
21,178,24,2,185,428
8,95,25,1,182,527
27,72,24,1,174,344
28,24,25,1,110,258
18,24,24,2,132,525
15,49,25,1,158,426
26,74,25,2,164,608
31,247,25,1,116,710
19,156,24,1,194,585
27,25,24,1,102,271
15,101,24,2,170,369
15,51,25,1,177,341
23,159,25,1,133,458
17,192,25,1,101,530
22,129,25,1,135,523
21,26,25,1,121,469
23,52,25,2,189,641
21,79,25,2,184,707
13,264,24,1,174,737
14,166,25,1,110,498
14,107,24,1,118,486
19,268,25,1,189,606
18,236,25,1,150,389
16,203,25,1,115,652
18,204,25,1,191,672
18,171,24,1,140,579
15,138,25,1,162,636
20,416,25,1,177,940
16,244,25,1,109,600
26,280,25,1,155,443
13,211,25,1,117,446
22,424,25,1,181,869
24,427,25,1,153,580
19,286,24,1,127,689
22,115,24,2,102,145
25,144,24,3,150,524
18,116,25,1,108,217
11,117,24,1,188,433
18,29,24,1,115,214
20,59,24,1,138,111
23,89,25,2,159,656
17,89,24,1,161,502
14,299,25,2,169,764
19,30,24,1,190,385
24,453,25,1,163,770
10,152,25,1,152,246
19,31,25,1,135,189
13,92,24,1,133,334
17,154,25,1,177,640
19,155,25,1,125,471
11,233,24,1,182,678
14,156,24,1,128,529
19,94,24,2,119,430
24,237,24,2,182,577
20,63,25,3,140,481
17,199,24,1,114,493
16,280,25,1,143,492
13,96,25,1,124,400
14,97,25,1,112,298
15,324,25,1,160,740
25,204,24,1,157,671
17,33,24,3,170,60
22,329,24,1,156,461
18,248,25,1,189,814
23,249,24,2,145,597
21,67,25,1,104,486
17,209,25,1,112,568
14,210,25,1,102,533
18,296,25,1,105,541
16,102,24,1,200,608
21,170,24,1,130,700
17,34,25,1,191,438
13,344,24,2,140,628
17,138,24,5,181,558
20,173,25,1,157,717
18,261,24,1,129,580
14,105,25,1,155,439
19,70,25,2,194,282
22,264,24,1,139,700
20,531,25,1,192,848
12,533,24,1,184,840
14,179,25,2,179,683
19,538,25,2,150,991
24,144,25,2,132,714
20,145,25,1,102,406
24,227,25,1,155,770
23,146,24,2,180,504
25,549,24,1,196,1005
15,367,25,1,137,704
23,369,24,1,195,593
22,74,25,1,150,559
17,37,25,1,110,79
20,75,24,1,133,350
21,328,25,1,151,713
24,75,24,1,134,335
13,331,24,1,145,666
24,38,24,2,141,184
22,76,25,1,195,420
18,115,24,2,168,467
21,336,25,1,118,578
21,154,25,1,148,461
19,193,25,1,115,560
20,194,24,3,194,362
14,156,24,1,199,346
16,391,24,1,201,917
16,589,24,1,176,886
17,345,25,1,127,637
23,297,25,1,163,482
19,199,25,1,112,413
16,40,25,1,101,336
17,40,24,1,147,498
19,201,25,1,184,435
13,252,24,1,108,271
15,40,25,1,199,351
17,122,24,3,181,253
17,163,25,1,136,207
16,307,24,1,127,583
23,41,24,2,164,674
17,82,25,1,152,453
19,124,25,1,200,565
22,166,24,2,201,556
16,364,24,1,155,741
20,627,25,2,105,758
19,629,24,1,190,956
16,42,24,1,141,402
21,84,24,2,188,612
21,212,25,1,101,478
17,85,25,1,135,391
15,213,24,2,194,445
21,268,24,1,191,481
11,172,24,1,165,453
18,323,25,1,131,916
18,216,25,1,182,562
18,43,25,1,139,648
21,327,25,1,178,522
15,219,25,1,170,440
18,175,24,1,179,372
16,330,24,1,140,821
26,44,25,1,164,171
16,177,24,2,190,516
19,333,24,1,100,596
14,334,25,1,123,702
16,224,25,2,158,595
13,449,25,1,195,966
17,450,24,1,108,816
18,181,25,1,143,469
18,453,24,1,196,611
22,682,24,1,155,1049
17,456,25,1,171,981
23,92,25,1,188,477
20,138,24,2,123,623
17,403,25,1,122,649
16,185,24,1,182,509
18,139,24,1,132,486
14,407,24,1,151,811
20,292,24,2,109,406
22,351,25,1,109,648
21,411,24,1,175,593
12,294,24,1,159,634
14,354,25,2,127,645
19,356,24,1,118,427
19,48,24,1,170,494
25,239,24,2,104,576
16,48,25,1,173,692
21,420,25,1,177,451
13,361,25,1,116,733
18,242,25,2,194,434
24,303,24,1,144,626
17,425,25,2,100,741
21,487,25,1,143,1067
27,196,24,1,166,612
15,368,25,1,120,845
16,197,24,1,199,656
18,99,24,1,199,419
22,371,24,1,129,561
13,310,25,1,179,615
21,149,25,1,169,391
15,437,25,1,115,806
20,250,25,1,159,758
16,100,25,1,156,348
20,50,25,2,101,136
25,758,24,1,179,1247
19,507,24,3,172,861
13,102,25,1,152,436
12,446,25,2,130,541
12,383,25,1,174,638
18,320,24,1,102,603
16,321,25,1,142,947
13,773,25,1,112,1148
30,517,25,1,165,954
11,259,24,1,122,425
15,455,25,2,121,679
19,156,25,1,146,612
15,785,24,1,188,989
19,105,24,3,140,411
22,526,25,3,146,843
13,527,25,2,114,836
26,793,24,2,184,1095
26,332,25,1,107,852
24,213,25,1,178,752
19,107,24,1,192,599
18,401,25,1,146,869
25,469,25,1,134,787
14,471,25,1,122,838
18,108,24,1,168,436
16,406,24,1,201,900
17,108,24,1,192,138
12,340,25,1,102,893
19,477,24,2,151,677
19,410,24,1,154,505
17,274,25,3,107,557
23,220,25,1,188,414
21,551,25,1,126,880
30,484,25,1,104,889
30,554,25,1,154,806
14,556,25,1,137,1005
18,836,24,1,195,1120
15,168,25,1,115,465
24,350,25,1,135,616
18,168,25,1,135,770
21,113,24,1,128,393
23,564,24,1,138,880
13,354,24,1,159,705
